Source, Target
53158947,732098074516955136
53158947,39715856
22652588,1339835893
2407837068,32168059
2407837068,20852175
2407837068,216776631
225259592,21619519
242992653,16129920
242992653,1286312880
18874870,272191896
277176734,2557216808
277176734,277176734
17014087,29442313
846829170,115979444
78444641,11856892
78444641,25073877
78444641,1339835893
3429687821,499336680
2582736318,113364160
2582736318,216776631
19776539,216776631
429998620,89587925
429998620,1007541319
429998620,22952132
17245005,759251
17245005,259001548
68053114,15808765
65063153,44204341
67442251,603025587
43731473,2467791
43731473,1339835893
407217936,18479513
407217936,53178109
407217936,7744592
21563704,25073877
2732751,15808765
140757396,1330457336
149763376,197551388
42273181,1339835893
93288759,1330457336
207141071,3044993235
5885472,603025587
57500906,18931655
16439804,14780915
16439804,16589206
38861149,20442002
17199916,7517222
500344021,10069612
500344021,14695985
500344021,14240875
81197455,216776631
10888712,259001548
10888712,32780218
561687126,1339835893
1053467070,31149488
948894055,2863488598
17870564,1351851882
17870564,15224867
2437613556,18805644
2437613556,25073877
249783601,15808765
249783601,970207298
14629969,757303975
14629969,1330457336
325962517,603025587
122396513,603025587
67442251,14246088
7573442,148986929
7573442,2279326459
179543490,1330457336
477463586,8370082
18957839,33961868
18957839,25073877
843585440,98696100
22690358,14135426
22690358,1093090866
39511420,216776631
262948804,7334402
262948804,15808765
625162677,17393196
408741796,230035576
2452134079,19608297
41595816,14377605
17090188,20068679
18248811,469628753
374383858,29442313
374383858,110899711
28626403,172858784
184780576,3654429433
277147994,216776631
2913070518,3141672447
2913070518,216776631
2684746102,8370082
2684746102,15808765
2603613942,2836421
2230866788,4872238876
15935404,14529929
49141886,2097571
49141886,759251
345548735,18064237
2603613942,1339835893
2603613942,2836421
2908677620,1339835893
2908677620,25073877
21236873,173999134
21236873,2836421
24584073,705902960967094272
1066546788,33537967
41949140,216776631
17219212,172858784
329433192,1339835893
16618211,29201047
1673909227,1339835893
46710991,324659455
46710991,216776631
985186213,79293791
985186213,1339835893
546241104,15808765
170031567,14377605
184780576,697544490249297921
184780576,1339835893
311241090,457984599
726740008271384576,1614054846
286618879,27658830
286618879,42864649
286618879,170861207
489956267,109328493
52124896,4892801200
358262744,15808765
36714446,216776631
408741796,230035576
38218247,15667291
96908686,1339835893
140136677,3333055535
46970523,216776631
46970523,26775504
1923389832,25073877
1923389832,1339835893
16074977,14377605
86257986,1330457336
4012710749,4012710749
205928341,244655353
846265483,56413858
846265483,60919240
846265483,1339835893
286618879,27658830
286618879,42864649
286618879,170861207
1059206275,13850422
723595391355236353,66602794
